id,country,iso3,gwno,year,geo_id,geolocation,level,adm1,adm2,adm3,location,historical,hist_country,disastertype,disasterno,Latitude,Longitude
3420,Italy,ITA,325,1968,10502,Sicily,1,Sicily,NA,NA,Western Sicily,0,NA,earthquake,1968-0023,37.58842202,14.14667935
3525,Japan,JPN,740,1964,11309,Niigata,1,Niigata,NA,NA,Niigata,0,NA,earthquake,1964-0036,37.52181911,138.9186474
3537,Japan,JPN,740,1968,10933,Hokkaido,1,Hokkaido,NA,NA,Hokkaido,0,NA,earthquake,1968-0050,43.38571051,142.5523179
3556,Japan,JPN,740,1980,10849,Fukushima,1,Fukushima,NA,NA,Honshu,0,NA,earthquake,1980-0266,37.37886746,140.2232952
3556,Japan,JPN,740,1980,11314,Niigata,1,Niigata,NA,NA,Honshu,0,NA,earthquake,1980-0266,37.52181911,138.9186474
3556,Japan,JPN,740,1980,11363,Okayama,1,Okayama,NA,NA,Okayama,0,NA,earthquake,1980-0266,34.89245983,133.8262517
3556,Japan,JPN,740,1980,11498,Shimane,1,Shimane,NA,NA,Honshu,0,NA,earthquake,1980-0266,35.07076032,132.554064
3556,Japan,JPN,740,1980,11576,Tokyo,1,Tokyo,NA,NA,Oshima Island,0,NA,earthquake,1980-0266,35.7113435,139.4469212
3556,Japan,JPN,740,1980,11655,Wakayama,1,Wakayama,NA,NA,Honshu,0,NA,earthquake,1980-0266,33.91187939,135.505446
3559,Japan,JPN,740,1980,11577,Tokyo,1,Tokyo,NA,NA,Tokyo,0,NA,earthquake,1980-0092,35.7113435,139.4469212
